1.008612,3.716171,3.655792,3.593526,3.416691,3.277813,3.324827,3.307576,3.416967,3.441147,3.420362,3.295341,3.519911,3.537734,3.392572,3.681535,2.915547,3.100702,1.471473,1.205698,0.000000,0.000000,0.000000,0.000000
1.008241,3.714713,3.654323,3.592120,3.415367,3.276556,3.323548,3.306218,3.415572,3.439899,3.418979,3.294120,3.518600,3.536407,3.391333,3.680114,2.914372,3.099438,1.470900,1.205210,0.000000,0.000000,0.000000,0.000000
1.008193,3.714560,3.654171,3.591914,3.415225,3.276391,3.323421,3.306088,3.415422,3.439718,3.418842,3.293965,3.518447,3.536249,3.391178,3.679969,2.914248,3.099302,1.470804,1.205162,0.000000,0.000000,0.000000,0.000000
1.008212,3.714740,3.654339,3.592031,3.415355,3.276453,3.323526,3.306233,3.415597,3.439793,3.419022,3.294019,3.518525,3.536345,3.391184,3.680110,2.914429,3.099474,1.470819,1.205174,0.000000,0.000000,0.000000,0.000000
1.008600,3.716130,3.655743,3.593518,3.416658,3.277778,3.324773,3.307534,3.416901,3.441130,3.420300,3.295335,3.519879,3.537684,3.392555,3.681484,2.915513,3.100657,1.471445,1.205692,0.000000,0.000000,0.000000,0.000000
1.008240,3.714655,3.654289,3.592165,3.415329,3.276527,3.323458,3.306159,3.415495,3.439895,3.418894,3.294136,3.518593,3.536304,3.391326,3.680044,2.914308,3.099412,1.470906,1.205233,0.000000,0.000000,0.000000,0.000000
1.008129,3.714301,3.653925,3.591671,3.414991,3.276193,3.323234,3.305864,3.415179,3.439484,3.418645,3.293767,3.518243,3.536019,3.390993,3.679725,2.914049,3.099072,1.470715,1.205065,0.000000,0.000000,0.000000,0.000000
1.008339,3.715045,3.654681,3.592430,3.415683,3.276888,3.323909,3.306542,3.415883,3.440199,3.419326,3.294431,3.518962,3.536740,3.391697,3.680468,2.914634,3.099707,1.471045,1.205332,0.000000,0.000000,0.000000,0.000000
1.008347,3.715113,3.654722,3.592448,3.415721,3.276887,3.323923,3.306589,3.415942,3.440221,3.419355,3.294428,3.518955,3.536777,3.391692,3.680509,2.914666,3.099739,1.471037,1.205359,0.000000,0.000000,0.000000,0.000000
1.008664,3.716352,3.655982,3.593701,3.416850,3.277992,3.325007,3.307748,3.417140,3.441318,3.420532,3.295507,3.520105,3.537914,3.392773,3.681724,2.915691,3.100845,1.471561,1.205768,0.000000,0.000000,0.000000,0.000000
1.008202,3.714452,3.654093,3.592055,3.415152,3.276310,3.323206,3.305998,3.415285,3.439707,3.418694,3.293956,3.518327,3.536113,3.391047,3.679826,2.914242,3.099290,1.470824,1.205150,0.000000,0.000000,0.000000,0.000000
1.008707,3.716301,3.655955,3.593763,3.416865,3.278128,3.325110,3.307730,3.417093,3.441337,3.420470,3.295680,3.520213,3.537995,3.392976,3.681754,2.915615,3.100789,1.471640,1.205812,0.000000,0.000000,0.000000,0.000000
1.008349,3.715215,3.654842,3.592550,3.415831,3.276924,3.323979,3.306708,3.416070,3.440250,3.419497,3.294486,3.519008,3.536832,3.391649,3.680613,2.914809,3.099925,1.471052,1.205349,0.000000,0.000000,0.000000,0.000000
1.008228,3.714816,3.654407,3.592083,3.415421,3.276520,3.323594,3.306306,3.415684,3.439832,3.419125,3.294080,3.518610,3.536408,3.391229,3.680177,2.914473,3.099555,1.470870,1.205178,0.000000,0.000000,0.000000,0.000000
1.008234,3.714578,3.654225,3.592106,3.415253,3.276420,3.323333,3.306092,3.415417,3.439821,3.418822,3.294052,3.518491,3.536205,3.391211,3.679948,2.914268,3.099346,1.470872,1.205198,0.000000,0.000000,0.000000,0.000000
1.008683,3.716419,3.656051,3.593791,3.416925,3.278062,3.325075,3.307812,3.417196,3.441391,3.420588,3.295584,3.520172,3.537981,3.392845,3.681792,2.915749,3.100901,1.471585,1.205800,0.000000,0.000000,0.000000,0.000000
1.008222,3.714595,3.654240,3.591999,3.415274,3.276488,3.323500,3.306127,3.415466,3.439798,3.418898,3.294055,3.518558,3.536300,3.391300,3.680030,2.914281,3.099341,1.470865,1.205182,0.000000,0.000000,0.000000,0.000000
1.008180,3.714414,3.654046,3.591916,3.415078,3.276235,3.323157,3.305919,3.415254,3.439666,3.418657,3.293864,3.518314,3.536023,3.391024,3.679767,2.914154,3.099208,1.470783,1.205133,0.000000,0.000000,0.000000,0.000000
1.008788,3.716681,3.656330,3.594121,3.417198,3.278428,3.325408,3.308065,3.417448,3.441677,3.420823,3.295955,3.520523,3.538313,3.393274,3.682113,2.915926,3.101101,1.471765,1.205941,0.000000,0.000000,0.000000,0.000000
