0.000658,0.999343
0.910306,0.089694
0.007253,0.992747
0.000954,0.999046
0.003081,0.996919
0.000290,0.999710
0.000317,0.999683
0.000426,0.999574
0.000417,0.999583
0.014353,0.985647
0.010098,0.989902
0.003370,0.996630
1.000000,0.000000
0.001334,0.998666
0.858154,0.141846
0.000398,0.999602
0.931225,0.068775
0.001610,0.998390
0.020493,0.979507
0.000435,0.999565
0.018583,0.981417
0.015979,0.984021
0.004157,0.995843
0.001590,0.998410
0.002917,0.997083
0.000706,0.999294
0.754540,0.245460
0.000175,0.999825
0.001269,0.998731
0.000291,0.999708
0.000702,0.999298
0.006606,0.993394
0.992237,0.007763
0.025583,0.974417
0.021444,0.978556
0.054830,0.945170
0.086633,0.913367
0.007012,0.992988
0.001336,0.998664
0.333404,0.666596
0.823956,0.176044
0.009772,0.990228
0.002084,0.997916
0.000619,0.999381
0.011065,0.988935
0.000172,0.999828
0.000747,0.999253
0.027401,0.972599
0.005575,0.994425
0.008164,0.991836
0.005738,0.994262
0.002714,0.997286
0.017664,0.982336
0.000376,0.999624
0.988118,0.011882
0.217264,0.782736
0.014105,0.985895
0.000358,0.999642
0.000154,0.999846
0.000188,0.999812
0.001219,0.998781
0.000206,0.999794
0.003686,0.996314
0.015245,0.984755
0.057912,0.942088
0.005984,0.994016
0.002076,0.997924
0.003710,0.996290
0.002736,0.997264
0.999201,0.000799
0.002665,0.997335
0.001307,0.998693
0.998959,0.001041
0.000616,0.999384
0.004416,0.995584
0.054637,0.945363
0.000309,0.999691
0.754373,0.245627
0.014632,0.985368
0.987924,0.012076
0.196858,0.803142
0.000599,0.999401
0.000543,0.999457
0.000251,0.999749
